Puesto,Empresa,Puntuación empresa,Ubicación,Estado postulación,Fecha,Candidatos,URL aviso
Asesor Comercial Alquileres La Plata,Yacoub Real Estate,,"La Plata, Buenos Aires",CV Visto,Más de 30 días,+ 100 candidatos postulados,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asesor-comercial-alquileres-la-plata-en-la-plata-927E9BAD4B8BE4C561373E686DCF3405
Encargado de Pañol,BRANDIVIN S.A.,"4,2","La Plata, Buenos Aires",Proceso finalizado,Más de 30 días,+ 100 candidatos postulados,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-encargado-de-panol-zona-la-plata-en-la-plata-5F9DCCEA8426099861373E686DCF3405
Back office comunicacion digital,,,,Postulado,Más de 30 días,+ 100 candidatos postulados,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-back-office-comunicacion-digital-en-nunez-8ECD383B5E7B740961373E686DCF3405
Operario  para control de calidad,,,,No seleccionado,Más de 30 días,+ 100 candidatos postulados,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-operario-para-control-de-calidad-en-la-plata-A40A8D25C7CAB05B61373E686DCF3405
Operario de Carga y Descarga Eventual La Plata,ManpowerGroup,"4,3","La Plata, Buenos Aires",Postulado,Más de 30 días,+ 100 candidatos postulados,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-operario-de-carga-y-descarga-eventual-la-plata-en-la-plata-51E2E32D94CE449261373E686DCF3405
Deskside Support Analyst,Importante empresa del sector,,"Monserrat, Capital Federal",Postulado,7 de mayo,+ 100 candidatos postulados,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-deskside-support-analyst-ingles-excluyente-en-monserrat-72794B33697BF5A661373E686DCF3405
Mesa de Ayuda/Help Desk/Service Desk IT JR CABA Zona Microcentro/Híbrido 4 remotos/ L a V 9 a 18 hs,,,,Postulado,7 de mayo,+ 100 candidatos postulados,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-mesa-de-ayudahelp-deskservice-desk-it-jr-caba-zona-microcentrohibrido-4-remotos-l-a-v-9-a-18-hs-en-monserrat-19774765350FF1EC61373E686DCF3405
Ref. 21216: Soporte Tecnico Jr,ADN - Recursos Humanos,"3,5","Belgrano, Capital Federal",Postulado,7 de mayo,+ 100 candidatos postulados,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ref-21216-soporte-tecnico-jr-belgrano-caba-en-belgrano-50B41DDB6143610361373E686DCF3405
Analista Soporte Técnico IT,,,,Postulado,7 de mayo,+ 100 candidatos postulados,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-soporte-tecnico-it-para-planta-industrial-en-caba-zona-costanera-en-retiro-F4AE8E4BEDC6499361373E686DCF3405
Operarios/as eventuales de Logística con Certificado de Antecedentes Penales Barracas,,,,En proceso,Hace  3  días,+ 100 candidatos postulados,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-operariosas-eventuales-de-logistica-con-certificado-de-antecedentes-penales-barracas-en-barracas-FAEAF40B8603485661373E686DCF3405
Operarios Logisticos con Botines Propios,Adecco Argentina S.A.,"4,3","Retiro, Capital Federal",Postulado,5 de mayo,+ 100 candidatos postulados,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-operarios-logisticos-con-botines-propios-zona-villa-soldati-en-retiro-5B60CFF6AB54473661373E686DCF3405
Operarios/as eventuales de Logistica/ Parque Patricios (CABA),Adecco Argentina S.A.,"4,3","Parque Patricios, Capital Federal",Postulado,5 de mayo,+ 100 candidatos postulados,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-operariosas-eventuales-de-logistica-parque-patricios-caba-en-parque-patricios-2A5456A99A249F8B61373E686DCF3405
Operador de Cobranzas,EA Capital Humano Tucumán,,"La Plata, Buenos Aires",Proceso finalizado,11 de mayo,+ 100 candidatos postulados,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-operador-de-cobranzas-contact-center-en-la-plata-4F69DDFED5C4192661373E686DCF3405
"Operario/a metalúrgico/a sector laminación. Zona Abasto, La Plata",Grupo Gestión,"4,1","La Plata, Buenos Aires",Postulado,5 de mayo,+ 100 candidatos postulados,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-operarioa-metalurgicoa-sector-laminacion-zona-abasto-la-plata-en-la-plata-BC93E5D395C61EF561373E686DCF3405
Pickers eventuales Hot Sale para supermercado en La Plata,Grupo Gestión,"4,1","La Plata, Buenos Aires",Postulado,4 de mayo,+ 100 candidatos postulados,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-pickers-eventuales-hot-sale-para-supermercado-en-la-plata-ingreso-inmediato-en-la-plata-182B34F40426898F61373E686DCF3405
Ref. 20927 Soporte Técnico IT / Balvanera CABA,,,,CV Visto,22 de mayo,+ 100 candidatos postulados,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ref-20927-soporte-tecnico-it-balvanera-caba-en-balvanera-5E7A4EFF7F69BAC061373E686DCF3405
Especialista Técnico en Infraestructura IT,,,,CV Visto,17 de mayo,+ 100 candidatos postulados,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-especialista-tecnico-en-infraestructura-it-para-infraestructura-y-soporte-de-alta-complejidad-en-retiro-87B894C3FF40270661373E686DCF3405
Soporte L1/2 Infraestructura,CONEXION HR,,"Retiro, Capital Federal",Postulado,16 de mayo,+ 100 candidatos postulados,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-soporte-l12-infraestructura-en-retiro-CF3D768C99A170D761373E686DCF3405
Técnico IT Semi Senior,TECNORRHH,,"Belgrano, Capital Federal",Postulado,16 de mayo,+ 100 candidatos postulados,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-tecnico-it-semi-senior-soporte-presencial-campo-en-belgrano-0B9B898D0225D6FD61373E686DCF3405
Field Support IT Soporte Tecnico Informatico SSR  CABA Presencial / Esquema 2 x 2 de 8 a 20 hs,Yel Solutions,"4,1","Monserrat, Capital Federal",Postulado,16 de mayo,+ 100 candidatos postulados,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-field-support-it-soporte-tecnico-informatico-ssr-caba-presencial-esquema-2-x-2-de-8-a-20-hs-en-monserrat-E2E406EFC5F79F5961373E686DCF3405
Soporte tècnico,Sonda,"4,1","San Telmo, Capital Federal",Postulado,16 de mayo,+ 100 candidatos postulados,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-soporte-tecnico-ssr-en-san-telmo-en-san-telmo-0D2E2EF9166786AC61373E686DCF3405
Ref. 21216: Analista de Soporte Jr. / Belgrano CABA,ADN - Recursos Humanos,"3,5","Belgrano, Capital Federal",Postulado,16 de mayo,+ 100 candidatos postulados,https://ar.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ref-21216-analista-de-soporte-jr-belgrano-caba-en-belgrano-387DE6CD3EAB1C5261373E686DCF3405
